Algorithm,DataSize,Time(ns)
BubbleSortUntilNoChange,100,35174.043125
BubbleSortUntilNoChange,1000,2321591.088125
BubbleSortUntilNoChange,10000,257904976.596875
BubbleSortWhileNeeded,100,29636.844375
BubbleSortWhileNeeded,1000,1550173.561875
BubbleSortWhileNeeded,10000,180204795.24625
QuickSortGPT,100,36737.801875
QuickSortGPT,1000,743505.990625
QuickSortGPT,10000,75946883.60375
SelectionSortGPT,100,28263.49875
SelectionSortGPT,1000,1148733.645
SelectionSortGPT,10000,111277318.081875
