Algorithm,DataType,DataSize,Sortedness,Time(ns)
BubbleSortWhileNeeded,Double,10000,FirstKSorted,271396087
BubbleSortWhileNeeded,Double,10000,LastKSorted,81746666
QuickSortGPT,Integer,100,Random,31979
QuickSortGPT,Integer,100,Reversed,50529
QuickSortGPT,Integer,100,FirstKSorted,10779
QuickSortGPT,Integer,100,LastKSorted,31287
QuickSortGPT,Integer,1000,Random,293420
QuickSortGPT,Integer,1000,Reversed,2439520
QuickSortGPT,Integer,1000,FirstKSorted,102283
QuickSortGPT,Integer,1000,LastKSorted,576591
QuickSortGPT,Integer,10000,Random,688050
QuickSortGPT,Integer,10000,Reversed,76114754
QuickSortGPT,Integer,10000,FirstKSorted,8007720
QuickSortGPT,Integer,10000,LastKSorted,60710112
QuickSortGPT,Long,100,Random,30041
QuickSortGPT,Long,100,Reversed,134974
QuickSortGPT,Long,100,FirstKSorted,31420
QuickSortGPT,Long,100,LastKSorted,87629
QuickSortGPT,Long,1000,Random,362354
QuickSortGPT,Long,1000,Reversed,1576912
QuickSortGPT,Long,1000,FirstKSorted,146325
QuickSortGPT,Long,1000,LastKSorted,742112
QuickSortGPT,Long,10000,Random,1262762
QuickSortGPT,Long,10000,Reversed,113290712
QuickSortGPT,Long,10000,FirstKSorted,11106704
QuickSortGPT,Long,10000,LastKSorted,82569829
QuickSortGPT,Float,100,Random,27912
QuickSortGPT,Float,100,Reversed,136137
QuickSortGPT,Float,100,FirstKSorted,26967
QuickSortGPT,Float,100,LastKSorted,130545
QuickSortGPT,Float,1000,Random,397441
QuickSortGPT,Float,1000,Reversed,2515937
QuickSortGPT,Float,1000,FirstKSorted,94991
QuickSortGPT,Float,1000,LastKSorted,1788000
QuickSortGPT,Float,10000,Random,1433687
QuickSortGPT,Float,10000,Reversed,180851137
QuickSortGPT,Float,10000,FirstKSorted,2077025
QuickSortGPT,Float,10000,LastKSorted,162951566
QuickSortGPT,Double,100,Random,5741
QuickSortGPT,Double,100,Reversed,23804
QuickSortGPT,Double,100,FirstKSorted,5179
QuickSortGPT,Double,100,LastKSorted,22108
QuickSortGPT,Double,1000,Random,94337
QuickSortGPT,Double,1000,Reversed,2383491
QuickSortGPT,Double,1000,FirstKSorted,145137
QuickSortGPT,Double,1000,LastKSorted,2213062
QuickSortGPT,Double,10000,Random,1265624
QuickSortGPT,Double,10000,Reversed,231200158
QuickSortGPT,Double,10000,FirstKSorted,3960599
QuickSortGPT,Double,10000,LastKSorted,202771125
SelectionSortGPT,Integer,100,Random,115487
SelectionSortGPT,Integer,100,Reversed,66412
SelectionSortGPT,Integer,100,FirstKSorted,28525
SelectionSortGPT,Integer,100,LastKSorted,27174
SelectionSortGPT,Integer,1000,Random,2458854
SelectionSortGPT,Integer,1000,Reversed,2361016
SelectionSortGPT,Integer,1000,FirstKSorted,603250
SelectionSortGPT,Integer,1000,LastKSorted,609662
SelectionSortGPT,Integer,10000,Random,55455208
SelectionSortGPT,Integer,10000,Reversed,53932812
SelectionSortGPT,Integer,10000,FirstKSorted,55062566
SelectionSortGPT,Integer,10000,LastKSorted,55663183
SelectionSortGPT,Long,100,Random,114029
SelectionSortGPT,Long,100,Reversed,106058
SelectionSortGPT,Long,100,FirstKSorted,108650
SelectionSortGPT,Long,100,LastKSorted,108533
SelectionSortGPT,Long,1000,Random,1007083
SelectionSortGPT,Long,1000,Reversed,752474
SelectionSortGPT,Long,1000,FirstKSorted,696370
SelectionSortGPT,Long,1000,LastKSorted,715333
SelectionSortGPT,Long,10000,Random,75417629
SelectionSortGPT,Long,10000,Reversed,97241383
SelectionSortGPT,Long,10000,FirstKSorted,76388825
SelectionSortGPT,Long,10000,LastKSorted,84195246
SelectionSortGPT,Float,100,Random,78745
SelectionSortGPT,Float,100,Reversed,27766
SelectionSortGPT,Float,100,FirstKSorted,30929
SelectionSortGPT,Float,100,LastKSorted,28991
SelectionSortGPT,Float,1000,Random,1772512
SelectionSortGPT,Float,1000,Reversed,1480283
SelectionSortGPT,Float,1000,FirstKSorted,1588316
SelectionSortGPT,Float,1000,LastKSorted,1728729
SelectionSortGPT,Float,10000,Random,152173520
SelectionSortGPT,Float,10000,Reversed,142758629
SelectionSortGPT,Float,10000,FirstKSorted,149844758
SelectionSortGPT,Float,10000,LastKSorted,150526891
SelectionSortGPT,Double,100,Random,28229
SelectionSortGPT,Double,100,Reversed,22604
SelectionSortGPT,Double,100,FirstKSorted,24654
SelectionSortGPT,Double,100,LastKSorted,22583
SelectionSortGPT,Double,1000,Random,2029220
SelectionSortGPT,Double,1000,Reversed,1891745
SelectionSortGPT,Double,1000,FirstKSorted,1864212
SelectionSortGPT,Double,1000,LastKSorted,1861696
SelectionSortGPT,Double,10000,Random,224160491
SelectionSortGPT,Double,10000,Reversed,193628479
SelectionSortGPT,Double,10000,FirstKSorted,197876433
SelectionSortGPT,Double,10000,LastKSorted,193797983
